step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
204,108812,204,0.002626315083464175,1.0,1.0
205,109293,205,0.0024938226380764473,1.0,1.0
206,109838,206,0.007502616647637726,0.0,0.9971830985915493
207,110319,207,0.004222014011128141,0.0,0.9966666666666667
208,110888,208,0.007286728427288936,0.0,0.9973262032085561
209,112113,209,0.04854822992087407,0.0,0.9814207650273225
210,112650,210,0.03223694079828677,0.0,0.9885057471264368
211,113131,211,0.0024243734335987538,1.0,1.0
212,113612,212,0.0024564945420091477,1.0,1.0
213,114197,213,0.006794619241404607,1.0,1.0
214,114678,214,0.002094388270470059,1.0,1.0
215,115159,215,0.002276051995548998,1.0,1.0
216,115640,216,0.0024417479857455366,1.0,1.0
217,116121,217,0.0022043186455088385,1.0,1.0
218,116602,218,0.0023917474925628083,1.0,1.0
219,117219,219,0.02158380587518064,0.0,0.9900990099009901
220,117700,220,0.0023747493948345923,1.0,1.0
221,118173,221,0.0020916771925458236,1.0,1.0
222,118654,222,0.002197318558707431,1.0,1.0
223,119215,223,0.03665309136788861,0.0,0.988795518207283
224,119696,224,0.0023680352642717396,1.0,1.0
225,120177,225,0.0023803446494901786,1.0,1.0
226,120706,226,0.021264933739186104,0.0,0.9939577039274925
227,121187,227,0.002355970329332213,1.0,1.0
228,121732,228,0.028707521736002314,0.0,0.9915966386554622
229,122221,229,0.010547242882033219,0.0,0.9967845659163987
230,122702,230,0.002487137720456799,1.0,1.0
231,123183,231,0.003481245648903595,1.0,1.0
232,123664,232,0.0033619558455973385,1.0,1.0
233,124233,233,0.00833751945703769,0.0,0.9973118279569892
234,124714,234,0.002631610881681264,1.0,1.0
235,125459,235,0.05354257524601314,0.0,0.9787234042553191
236,125988,236,0.004065812158235146,1.0,1.0
237,126461,237,0.002029631081177494,1.0,1.0
238,127030,238,0.014169589855571431,0.0,0.9973190348525469
239,127503,239,0.0024763611933052536,1.0,1.0
240,127944,240,0.01850926709786434,0.0,0.9962406015037594
241,128657,241,0.03444260216330344,0.0,0.9823182711198428
242,129138,242,0.002156874860004236,1.0,1.0
243,129627,243,0.002169118237142022,1.0,1.0
244,130476,244,0.052260173452203115,0.0,0.984822934232715
245,130989,245,0.039115449334344604,0.0,0.9850299401197605
246,131470,246,0.002832600584584796,1.0,1.0
247,131951,247,0.0025662748027659556,1.0,1.0
248,132432,248,0.0025186087659133955,1.0,1.0
249,133097,249,0.01056842442614525,1.0,1.0
250,133682,250,0.023145003145954707,0.0,0.9945945945945946
251,134155,251,0.002455639677065179,1.0,1.0
252,134628,252,0.002317714025840617,1.0,1.0
253,135101,253,0.0023812969991745853,1.0,1.0
254,135574,254,0.0029163404319359656,1.0,1.0
255,136207,255,0.09060156537325616,0.0,0.9664429530201343
256,136688,256,0.0023151540164718216,1.0,1.0
257,137169,257,0.001956175235579045,1.0,1.0
258,137642,258,0.002331979971460304,1.0,1.0
259,138179,259,0.016192017955057834,0.0,0.9943342776203966
260,138636,260,0.02258904595832077,0.0,0.9890510948905109
